"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"85","DPi","Misha Goikhberg","18","1:34.714","45:04.683","Green","Track","4.625","8.345","4.686","9.932","7.178","1.847","0.522","8.518","17.954","18.273","7.181","5.653","156.740"
"55","DPi","Ryan Hunter-Reay","16","1:34.276","45:04.993","Green","Track","4.451","8.086","4.692","10.138","7.112","1.797","0.504","8.501","18.108","18.327","7.298","5.262","162.338"
"912","GTLM","Laurens Vanthoor","14","5:38.428","45:13.455","Green","Track","239.650","10.675","5.864","10.649","7.738","2.066","0.666","9.543","19.296","19.352","7.536","5.393","122.850"
"66","GTLM","Sebastien Bourdais","16","1:36.744","45:25.913","Green","Track","4.655","8.456","4.934","10.221","7.769","1.981","0.531","8.305","18.250","18.827","7.370","5.445","154.083"
"96","GTD","Robby Foley","17","2:53.168","45:36.247","Green","Pit","4.881","8.839","4.980","10.637","7.848","1.988","0.553","9.334","20.110","19.837","9.081","75.080","147.953"
"9","GTD","Scott Hargrove","7","26:12.931","45:40.292","Green","Pit","4.976","9.595","6.170","11.493","8.563","2.365","0.661","10.491","21.401","21.495","9.141","1466.580","123.779"
"86","GTD","Mario Farnbacher","18","1:39.075","45:43.932","Green","Track","5.091","9.231","5.040","10.585","7.832","2.002","0.540","8.558","18.472","18.696","7.415","5.613","151.515"
"10","DPi","Jordan Taylor","1","45:44.051","45:44.051","Green","Pit","13.585","14.114","7.348","12.095","9.455","2.507","0.816","11.148","20.809","22.165","9.048","10.819","100.267"
"84","DPi","Simon Trummer","16","1:36.003","45:46.059","Green","Track","4.745","8.123","5.002","9.805","7.151","1.873","0.571","8.750","18.940","18.657","7.157","5.229","143.289"
"19","GTD","Will Hardeman","9","22:23.571","45:46.243","Green","Pit","5.034","9.863","5.105","11.728","8.181","2.080","0.553","9.945","21.823","296.936","10.921","961.402","147.953"
"74","GTD","Gar Robinson V","17","1:44.959","45:49.530","Green","Track","5.035","9.561","5.221","11.260","8.126","2.055","0.556","9.103","20.122","20.305","7.641","5.974","147.155"
"33","GTD","Ben Keating","16","1:41.092","45:53.704","Green","Track","4.783","8.884","5.148","0.000","0.000","2.039","0.548","8.976","19.142","19.669","7.555","5.546","149.303"
"44","GTD","John Potter","7","4:17.605","45:59.450","Green","Track","147.334","14.124","6.903","11.393","8.236","2.236","0.723","10.825","20.685","21.319","7.962","5.865","113.165"
"73","GTD","Marco Seefried","18","1:38.670","46:01.131","Green","Track","5.047","8.723","4.880","10.430","7.885","2.024","0.547","8.630","18.262","19.266","7.536","5.440","149.576"
"5","DPi","Filipe Albuquerque","8","1:33.977","46:08.013","Green","Track","4.759","8.030","4.713","9.924","7.092","1.827","0.528","9.092","17.453","17.972","7.241","5.346","154.959"
"52","LMP2","Matthew McMurry","2","1:48.773","46:08.047","Green","Track","6.151","10.687","5.855","11.585","8.035","2.041","0.643","9.940","20.327","19.955","7.457","6.097","127.244"
"48","GTD","Ryan Hardwick","14","1:45.566","46:14.456","Green","Track","5.127","9.630","5.038","10.971","8.041","2.044","0.552","9.753","20.603","20.359","7.799","5.649","148.221"
"4","GTLM","Tommy Milner","16","1:44.027","46:20.251","Green","Track","5.302","9.280","5.431","10.850","7.985","2.033","0.612","9.591","20.182","19.738","7.492","5.531","133.690"
"67","GTLM","Richard Westbrook","15","1:40.043","46:27.681","Green","Track","4.886","8.927","5.066","10.153","7.814","1.990","0.577","8.864","19.107","19.387","7.505","5.767","141.799"
"57","GTD","Christina Nielsen","15","4:21.565","46:29.795","Green","Track","157.156","12.004","5.557","10.940","7.872","2.021","0.566","9.863","21.313","20.440","8.125","5.708","144.555"
"50","DPi","Kyle Kaiser","13","1:36.882","46:33.159","Green","Track","4.956","8.791","4.580","10.538","7.372","1.854","0.537","8.670","18.449","18.313","7.391","5.431","152.362"
"12","GTD","Frank Montecalvo","17","1:40.366","46:36.209","Green","Track","5.022","8.930","4.810","10.848","8.144","2.043","0.547","8.736","18.529","19.488","7.652","5.617","149.576"
"85","DPi","Misha Goikhberg","19","1:34.621","46:39.304","Green","Track","4.684","8.763","4.759","9.986","7.168","1.842","0.497","8.368","17.685","18.011","7.341","5.517","164.624"
"25","GTLM","Connor De Phillippi","17","1:37.538","46:41.929","Green","Track","4.694","8.470","4.736","10.278","7.768","2.000","0.534","8.333","18.276","19.328","7.442","5.679","153.218"
"77","DPi","Tristan Nunez","18","3:13.180","46:44.334","Green","Pit","4.387","7.939","4.928","10.204","7.128","1.872","0.591","8.654","17.702","18.614","9.216","101.945","138.440"
"912","GTLM","Laurens Vanthoor","15","1:39.947","46:53.402","Green","Track","5.169","9.001","5.387","10.698","7.947","1.991","0.592","9.394","18.042","18.836","7.565","5.325","138.206"
"66","GTLM","Sebastien Bourdais","17","1:35.387","47:01.300","Green","Track","4.647","8.301","4.905","9.878","7.706","1.973","0.529","8.020","18.061","18.684","7.264","5.419","154.666"
"7","DPi","Helio Castroneves","12","6:09.951","47:11.015","Green","Track","275.072","10.795","5.357","10.570","7.348","1.825","0.515","8.928","18.739","18.418","7.257","5.127","158.870"
"84","DPi","Simon Trummer","17","1:34.749","47:20.808","Green","Track","4.645","8.035","4.932","9.680","7.096","1.840","0.522","8.479","17.812","18.999","7.273","5.436","156.740"
"911","GTLM","Nick Tandy","13","7:36.275","47:22.265","Green","Track","356.426","10.693","5.805","10.226","7.779","1.986","0.579","9.363","18.906","19.803","8.913","5.796","141.309"
"86","GTD","Mario Farnbacher","19","1:38.883","47:22.815","Green","Track","4.942","9.012","5.083","10.176","7.840","1.996","0.535","8.596","18.226","19.100","7.565","5.812","152.931"
"14","GTD","Jack Hawksworth","18","3:14.144","47:27.107","Green","Track","93.357","12.062","5.696","10.688","8.005","2.026","0.555","9.469","19.063","19.800","7.631","5.792","147.420"
"96","GTD","Robby Foley","18","1:53.910","47:30.157","Green","Track","13.652","10.999","5.263","10.668","7.923","1.998","0.587","10.083","19.193","20.385","7.680","5.479","139.384"
"74","GTD","Gar Robinson V","18","1:42.961","47:32.491","Green","Track","5.132","9.272","5.082","10.775","8.078","2.056","0.551","9.047","19.355","20.286","7.592","5.735","148.490"
"33","GTD","Ben Keating","17","1:41.618","47:35.322","Green","Track","4.767","8.913","5.032","0.000","0.000","2.044","0.548","8.883","18.920","20.177","7.609","5.716","149.303"
